timestamp,latitude,longitude,altitude,speed,course,hacc
1759427168000,13.657216,-89.278652,954.167,3.710,180.400,10.119
1759427169000,13.657186,-89.278654,954.684,2.950,180.400,9.935
1759427170000,13.657156,-89.278655,954.837,2.930,180.400,9.935
1759427171000,13.657118,-89.278656,955.122,4.080,180.200,10.001
1759427172000,13.657080,-89.278658,955.401,4.370,179.500,10.019
1759427173000,13.657042,-89.278657,955.257,4.150,178.900,9.964
1759427174000,13.657009,-89.278661,956.138,3.660,178.400,9.964
1759427175000,13.656980,-89.278661,955.409,3.100,177.400,9.962
1759427176000,13.656957,-89.278659,955.230,2.590,176.100,9.954
1759427177000,13.656935,-89.278657,955.404,2.180,174.500,9.962
1759427178000,13.656914,-89.278657,956.519,1.860,173.700,9.990
1759427179000,13.656898,-89.278653,957.485,2.440,173.600,9.959
1759427180000,13.656867,-89.278654,958.467,3.520,172.800,10.216
1759427181000,13.656837,-89.278650,958.919,4.400,171.900,10.342
1759427182000,13.656791,-89.278644,959.394,4.890,170.100,10.578
1759427183000,13.656747,-89.278635,959.387,4.790,168.300,10.769
1759427184000,13.656704,-89.278627,959.224,4.740,167.500,10.987
1759427185000,13.656665,-89.278614,958.966,5.040,167.400,10.441
1759427186000,13.656624,-89.278599,959.786,5.350,167.900,9.995
1759427187000,13.656576,-89.278589,960.453,5.320,166.800,9.945
1759427188000,13.656531,-89.278572,960.590,4.980,163.400,9.964
1759427189000,13.656491,-89.278559,961.314,4.690,159.000,9.967
1759427190000,13.656449,-89.278545,961.511,5.000,159.400,9.948
1759427191000,13.656411,-89.278529,960.653,5.100,162.500,9.961
1759427192000,13.656362,-89.278521,961.730,5.190,166.500,9.960
1759427193000,13.656316,-89.278512,962.062,5.280,170.400,9.948
1759427194000,13.656272,-89.278505,961.440,5.260,173.400,9.963
1759427195000,13.656222,-89.278506,961.599,5.130,176.100,9.955
1759427196000,13.656175,-89.278503,961.063,4.800,178.700,9.964
1759427197000,13.656132,-89.278504,961.047,4.800,180.600,9.966
1759427198000,13.656090,-89.278502,960.868,4.760,182.300,9.970
1759427199000,13.656052,-89.278501,960.996,4.520,183.900,9.962
1759427200000,13.656014,-89.278502,960.666,4.750,184.800,9.958
1759427201000,13.655964,-89.278506,960.673,5.770,185.500,9.969
1759427202000,13.655906,-89.278513,960.638,6.780,186.000,10.029
1759427203000,13.655843,-89.278519,960.696,7.140,186.000,10.412
1759427204000,13.655775,-89.278526,960.747,7.420,185.900,10.744
1759427205000,13.655705,-89.278533,961.124,8.100,185.900,10.514
1759427206000,13.655637,-89.278533,959.082,8.360,185.500,10.518
1759427207000,13.655562,-89.278543,959.217,8.320,185.700,10.515
1759427208000,13.655486,-89.278553,959.440,8.240,185.800,10.094
1759427209000,13.655412,-89.278563,959.546,7.960,186.200,9.961
1759427210000,13.655340,-89.278574,959.462,7.880,188.100,9.964
1759427211000,13.655268,-89.278590,959.551,8.110,191.500,9.974
1759427212000,13.655198,-89.278608,959.497,7.760,195.000,9.989
1759427213000,13.655134,-89.278628,959.384,7.550,198.400,9.980
1759427214000,13.655070,-89.278654,959.087,7.510,202.200,10.025
1759427215000,13.655009,-89.278685,959.551,7.290,205.700,9.977
1759427216000,13.654948,-89.278724,960.547,7.090,209.100,9.959
1759427217000,13.654897,-89.278757,960.628,6.610,212.400,10.070
1759427218000,13.654857,-89.278785,960.226,5.890,215.600,9.959
1759427219000,13.654816,-89.278820,960.468,6.100,218.700,9.956
1759427220000,13.654776,-89.278853,960.521,6.070,221.600,9.953
1759427221000,13.654739,-89.278889,961.008,5.420,224.300,9.998
1759427222000,13.654709,-89.278922,960.730,4.980,226.800,9.955
1759427223000,13.654680,-89.278954,960.721,4.590,229.400,9.964
1759427224000,13.654658,-89.278983,960.356,4.280,231.700,9.996
1759427225000,13.654637,-89.279010,959.993,4.260,234.200,9.969
1759427226000,13.654614,-89.279042,960.360,4.610,236.600,9.994
1759427227000,13.654592,-89.279081,961.026,5.100,239.100,9.959
1759427228000,13.654569,-89.279121,961.051,4.810,241.500,9.957
1759427229000,13.654549,-89.279158,961.856,4.030,243.900,9.989
1759427230000,13.654535,-89.279188,962.122,3.440,245.900,9.989
1759427231000,13.654520,-89.279223,962.753,4.350,246.900,9.987
1759427232000,13.654502,-89.279265,962.519,5.530,247.000,9.957
1759427233000,13.654481,-89.279313,962.483,5.910,247.600,9.988
1759427234000,13.654460,-89.279364,962.717,5.740,248.000,9.945
1759427235000,13.654441,-89.279410,963.037,5.080,248.200,9.955
1759427236000,13.654424,-89.279449,963.135,4.140,247.300,9.962
1759427237000,13.654409,-89.279481,963.579,3.660,246.800,9.993
1759427238000,13.654398,-89.279511,963.728,3.170,246.900,9.960
1759427239000,13.654388,-89.279537,964.038,2.810,247.300,9.988
1759427240000,13.654378,-89.279566,964.439,3.720,248.000,9.974
1759427241000,13.654364,-89.279600,964.441,4.030,248.400,9.987
1759427242000,13.654349,-89.279633,964.612,3.870,248.300,9.961
1759427243000,13.654338,-89.279663,964.949,3.510,248.700,9.952
1759427244000,13.654328,-89.279695,964.683,4.010,249.300,9.979
1759427245000,13.654313,-89.279737,964.977,5.280,249.300,9.956
1759427246000,13.654297,-89.279783,965.364,5.570,249.500,9.947
1759427247000,13.654281,-89.279830,964.997,5.380,249.700,9.956
1759427248000,13.654264,-89.279877,965.314,5.370,249.900,9.961
1759427249000,13.654248,-89.279923,965.188,5.320,250.000,9.956
1759427250000,13.654234,-89.279970,965.387,5.420,250.400,9.955
1759427251000,13.654221,-89.280018,965.413,5.320,252.000,9.952
1759427252000,13.654209,-89.280066,965.758,5.260,253.700,9.996
1759427253000,13.654197,-89.280116,965.775,5.960,254.700,9.990
1759427254000,13.654184,-89.280171,966.387,6.230,255.500,10.005
1759427255000,13.654172,-89.280227,967.099,6.210,256.400,10.003
1759427256000,13.654161,-89.280281,967.462,5.810,257.000,10.006
1759427257000,13.654154,-89.280332,967.477,5.270,256.900,9.999
